,Age,Gender,Country,Mental health issue inteferes with work,Do you work remotely?,mental health benefits by employer,Negative impacts from discussing mental health issues with employer,Comfortable discussing mental health issues with corworkers,Comfortable discussing mental health issues with direct supervisor(s),Bring up mental health issues in an interview,year,Diagonosed with a mental health condition,Mental health conditionn(s)
177,32.0,Female,United States,Often,Yes,Yes,No,Yes,Yes,No,2014,,
178,45.0,Female,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
179,33.0,Male,United States,,Yes,Don't know,No,Yes,Yes,No,2014,,
183,45.0,Male,United States,Sometimes,No,Don't know,Yes,Yes,Yes,No,2014,,
184,43.0,Male,United States,Often,Yes,Yes,Yes,No,No,No,2014,,
185,37.0,Male,United States,,Yes,Yes,Yes,Yes,No,Maybe,2014,,
189,35.0,Female,United States,Never,No,Yes,Maybe,No,No,No,2014,,
191,28.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,No,No,2014,,
193,35.0,Male,United States,Rarely,No,No,No,Yes,Yes,No,2014,,
196,35.0,Female,United States,Never,Yes,Don't know,Maybe,Yes,No,No,2014,,
197,26.0,Male,United States,Rarely,No,Yes,No,Yes,Yes,No,2014,,
198,27.0,Male,United States,,Yes,Yes,Maybe,Yes,Yes,No,2014,,
200,27.0,Female,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
201,34.0,Female,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
202,41.0,Male,United States,Often,Yes,No,Maybe,Yes,Yes,Maybe,2014,,
207,30.0,Male,United States,Often,No,No,Maybe,Yes,Yes,No,2014,,
208,24.0,Male,United States,Never,No,Don't know,No,Yes,Yes,No,2014,,
210,40.0,Female,United States,,No,Yes,No,Yes,Yes,No,2014,,
213,32.0,Female,United States,Sometimes,No,Don't know,Yes,Yes,Yes,No,2014,,
214,32.0,Female,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
215,27.0,Female,United States,Sometimes,Yes,No,No,Yes,No,No,2014,,
218,29.0,Female,United States,Never,No,Yes,Maybe,Yes,No,No,2014,,
219,41.0,Male,United States,,No,Yes,Yes,No,Yes,No,2014,,
220,34.0,Female,United States,,No,Yes,No,Yes,Yes,Maybe,2014,,
222,28.0,Male,United States,Rarely,No,Don't know,No,Yes,Yes,No,2014,,
223,28.0,Male,United States,Sometimes,No,No,Yes,No,Yes,No,2014,,
224,23.0,Male,United States,Never,No,Don't know,No,No,Yes,No,2014,,
225,24.0,Male,United States,,No,Don't know,No,Yes,Yes,Maybe,2014,,
226,32.0,Male,United States,Rarely,Yes,No,No,Yes,Yes,No,2014,,
228,24.0,Male,United States,Never,No,Yes,Maybe,Yes,No,Maybe,2014,,
230,36.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
231,41.0,Male,United States,Rarely,Yes,Yes,Maybe,Yes,No,Maybe,2014,,
233,38.0,Male,United States,Sometimes,Yes,Don't know,Maybe,Yes,Yes,No,2014,,
238,37.0,Female,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
241,34.0,Male,United States,Sometimes,No,No,Maybe,Yes,Yes,No,2014,,
242,33.0,Male,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
244,27.0,Male,United States,Never,Yes,Yes,No,Yes,Yes,Maybe,2014,,
245,40.0,Male,United States,Sometimes,Yes,Yes,Yes,No,No,No,2014,,
246,21.0,Male,United States,Often,No,Don't know,Maybe,No,No,No,2014,,
248,32.0,Male,United States,Sometimes,Yes,No,Maybe,Yes,Yes,No,2014,,
249,29.0,Female,United States,Rarely,Yes,Yes,Maybe,Yes,No,Maybe,2014,,
250,23.0,Male,United States,Sometimes,Yes,Don't know,Maybe,Yes,Yes,No,2014,,
251,28.0,Male,United States,,No,Yes,No,Yes,Yes,No,2014,,
252,31.0,Male,United States,Rarely,Yes,Yes,No,Yes,Yes,No,2014,,
254,24.0,Male,United States,Sometimes,No,Don't know,No,Yes,Yes,Maybe,2014,,
257,42.0,Male,United States,Never,Yes,No,No,Yes,Yes,No,2014,,
260,27.0,Female,United States,Rarely,No,Yes,Maybe,Yes,No,No,2014,,
262,30.0,Male,United States,Sometimes,Yes,Yes,No,Yes,Yes,Maybe,2014,,
265,32.0,Male,United States,,No,No,No,Yes,Yes,No,2014,,
266,41.0,Male,United States,Sometimes,Yes,Yes,No,Yes,Yes,Yes,2014,,
268,37.0,Female,United States,Often,No,Yes,Maybe,Yes,Yes,No,2014,,
269,32.0,Male,United States,Never,Yes,No,No,Yes,Yes,No,2014,,
271,23.0,Female,United States,Never,No,Yes,No,Yes,Yes,Maybe,2014,,
272,30.0,Male,United States,,No,Yes,No,Yes,Yes,No,2014,,
274,38.0,Male,United States,Rarely,Yes,Yes,Yes,No,No,No,2014,,
276,34.0,Male,United States,,No,Yes,Maybe,Yes,No,No,2014,,
278,28.0,Male,United States,Rarely,No,Yes,Maybe,Yes,Yes,No,2014,,
279,23.0,Male,United States,Sometimes,No,Don't know,Maybe,Yes,No,No,2014,,
282,18.0,Male,United States,Sometimes,No,Don't know,Yes,No,No,No,2014,,
283,35.0,Male,United States,Sometimes,No,Yes,Yes,No,Yes,No,2014,,
286,26.0,Female,United States,Rarely,No,Yes,Maybe,Yes,Yes,No,2014,,
287,18.0,Male,United States,Never,No,Don't know,No,Yes,Yes,No,2014,,
288,38.0,Female,United States,Sometimes,No,No,No,Yes,No,No,2014,,
289,26.0,Female,United States,Rarely,Yes,Yes,Maybe,Yes,No,No,2014,,
291,35.0,Male,United States,Never,No,Don't know,Yes,Yes,Yes,No,2014,,
292,45.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
293,32.0,Male,United States,Never,No,Yes,Maybe,Yes,Yes,No,2014,,
294,56.0,Male,United States,Never,No,Yes,No,Yes,Yes,No,2014,,
295,24.0,Female,United States,,No,Don't know,Maybe,Yes,No,No,2014,,
296,30.0,Female,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
297,60.0,Male,United States,,No,Yes,No,Yes,Yes,Maybe,2014,,
298,33.0,Male,United States,Sometimes,No,Yes,Yes,No,No,No,2014,,
299,37.0,Male,United States,Never,No,Yes,No,Yes,Yes,Maybe,2014,,
300,23.0,Female,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
301,31.0,Female,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
302,26.0,Male,United States,Rarely,No,Yes,No,Yes,Yes,No,2014,,
303,28.0,Female,United States,Often,Yes,Yes,Yes,Yes,Yes,No,2014,,
304,37.0,Female,United States,Rarely,No,Yes,No,Yes,Yes,No,2014,,
306,30.0,Queer/Non-binary,United States,Rarely,No,Yes,Maybe,Yes,Yes,No,2014,,
307,26.0,Male,United States,,No,No,No,Yes,Yes,No,2014,,
308,25.0,Male,United States,,Yes,Don't know,No,Yes,Yes,No,2014,,
309,27.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
311,35.0,Male,United States,Rarely,No,Yes,No,Yes,Yes,No,2014,,
312,36.0,Male,United States,Never,No,No,Maybe,Yes,Yes,No,2014,,
313,26.0,Male,United States,Sometimes,No,Yes,Yes,No,No,No,2014,,
314,27.0,Male,United States,,No,Don't know,No,Yes,Yes,Maybe,2014,,
315,30.0,Male,United States,,No,Don't know,Maybe,Yes,Yes,No,2014,,
316,29.0,Male,United States,,No,Don't know,Maybe,No,No,No,2014,,
317,25.0,Male,United States,Never,No,Yes,No,Yes,Yes,Maybe,2014,,
318,22.0,Female,United States,Often,No,Yes,Maybe,No,Yes,No,2014,,
320,41.0,Male,United States,Rarely,Yes,Yes,No,Yes,Yes,Maybe,2014,,
321,29.0,Male,United States,Sometimes,No,Yes,Yes,Yes,Yes,No,2014,,
322,32.0,Male,United States,Never,No,Yes,No,Yes,Yes,Maybe,2014,,
323,24.0,Female,United States,Sometimes,No,Yes,Maybe,Yes,No,No,2014,,
324,25.0,Male,United States,Rarely,No,Yes,Maybe,No,No,No,2014,,
325,25.0,Male,United States,,No,Don't know,Maybe,No,No,No,2014,,
326,30.0,Female,United States,Never,No,Yes,Maybe,No,Yes,No,2014,,
327,25.0,Male,United States,Sometimes,No,Don't know,No,Yes,Yes,No,2014,,
328,30.0,Male,United States,Never,Yes,No,Maybe,Yes,Yes,No,2014,,
330,24.0,Male,United States,,No,Yes,No,Yes,Yes,No,2014,,
332,31.0,Male,United States,,No,Don't know,Maybe,No,No,No,2014,,
335,46.0,Male,United States,Never,No,Yes,No,Yes,Yes,Maybe,2014,,
337,29.0,Female,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
338,24.0,Male,United States,,No,Yes,Yes,No,No,No,2014,,
339,29.0,Male,United States,,No,Yes,No,Yes,Yes,No,2014,,
340,35.0,Male,United States,,No,Don't know,No,Yes,Yes,No,2014,,
341,33.0,Female,United States,Sometimes,Yes,No,Yes,Yes,Yes,No,2014,,
342,27.0,Male,United States,Sometimes,No,Don't know,Yes,No,No,No,2014,,
343,36.0,Male,United States,,No,Don't know,Maybe,Yes,Yes,No,2014,,
345,25.0,Female,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
346,23.0,Male,United States,Sometimes,No,Don't know,No,Yes,Yes,Maybe,2014,,
347,54.0,Male,United States,Never,No,Don't know,No,No,Yes,No,2014,,
348,22.0,Male,United States,Sometimes,No,Don't know,Maybe,Yes,No,No,2014,,
349,25.0,Queer/Non-binary,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
351,27.0,Male,United States,Sometimes,No,Yes,No,No,No,No,2014,,
353,26.0,Male,United States,Often,No,Yes,Maybe,Yes,No,No,2014,,
355,31.0,Male,United States,Sometimes,No,No,No,Yes,No,No,2014,,
356,33.0,Male,United States,Sometimes,No,Don't know,Maybe,Yes,Yes,No,2014,,
357,34.0,Male,United States,Sometimes,No,Yes,Maybe,No,No,No,2014,,
358,34.0,Male,United States,Sometimes,Yes,No,Yes,Yes,Yes,No,2014,,
359,29.0,Male,United States,,Yes,No,No,Yes,Yes,Maybe,2014,,
360,33.0,Female,United States,,No,No,Maybe,Yes,Yes,No,2014,,
362,26.0,Male,United States,Rarely,Yes,No,Maybe,Yes,Yes,No,2014,,
363,32.0,Male,United States,Rarely,No,Yes,No,Yes,Yes,No,2014,,
364,329.0,Male,United States,Often,Yes,Yes,Maybe,Yes,No,No,2014,,
365,28.0,Male,United States,Sometimes,No,Don't know,Maybe,No,No,No,2014,,
366,35.0,Male,United States,,No,Yes,No,Yes,Yes,No,2014,,
367,36.0,Male,United States,Often,No,No,No,Yes,Yes,No,2014,,
368,21.0,Male,United States,Rarely,No,Yes,No,Yes,Yes,Maybe,2014,,
370,22.0,Female,United States,,No,Yes,No,No,Yes,No,2014,,
371,41.0,Male,United States,Often,No,Yes,Maybe,Yes,Yes,No,2014,,
372,55.0,Male,United States,Rarely,No,Yes,No,Yes,Yes,No,2014,,
373,32.0,Female,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
374,21.0,Female,United States,Rarely,No,Don't know,Yes,Yes,No,No,2014,,
375,45.0,Male,United States,Never,Yes,Yes,Maybe,No,Yes,No,2014,,
376,27.0,Female,United States,Rarely,No,Yes,Yes,No,No,No,2014,,
377,25.0,Female,United States,Sometimes,Yes,Don't know,Maybe,Yes,Yes,No,2014,,
378,34.0,Female,United States,Rarely,No,Yes,Maybe,Yes,Yes,No,2014,,
379,26.0,Female,United States,Never,No,Yes,Maybe,No,No,No,2014,,
381,27.0,Male,United States,Rarely,No,Yes,No,Yes,Yes,No,2014,,
382,31.0,Male,United States,Sometimes,Yes,Yes,No,Yes,Yes,No,2014,,
384,26.0,Male,United States,Sometimes,No,Don't know,Yes,Yes,No,No,2014,,
385,27.0,Female,United States,Rarely,Yes,Yes,Maybe,No,Yes,No,2014,,
387,29.0,Others,United States,Sometimes,Yes,Yes,Yes,Yes,No,No,2014,,
388,25.0,Female,United States,Sometimes,No,Don't know,Yes,Yes,No,No,2014,,
391,40.0,Female,United States,Rarely,No,Yes,Maybe,No,No,No,2014,,
392,31.0,Male,United States,Never,No,Don't know,Yes,Yes,No,No,2014,,
394,24.0,Female,United States,,No,No,Yes,No,No,No,2014,,
395,29.0,Male,United States,Never,No,Yes,Maybe,Yes,Yes,No,2014,,
398,32.0,Female,United States,Never,No,Don't know,Maybe,No,Yes,No,2014,,
400,26.0,Male,United States,Often,No,Yes,Maybe,Yes,Yes,No,2014,,
401,28.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,No,No,2014,,
402,23.0,Male,United States,,No,Don't know,No,Yes,Yes,No,2014,,
403,35.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,Yes,No,2014,,
405,26.0,Male,United States,,No,Yes,No,Yes,Yes,Maybe,2014,,
406,33.0,Male,United States,Never,Yes,Yes,Yes,Yes,Yes,No,2014,,
407,33.0,Male,United States,,Yes,Don't know,Yes,Yes,No,No,2014,,
410,33.0,Male,United States,Often,Yes,Yes,Yes,No,No,No,2014,,
411,31.0,Female,United States,Rarely,No,Don't know,Yes,No,No,No,2014,,
412,21.0,Male,United States,Never,No,Don't know,No,Yes,Yes,No,2014,,
414,26.0,Female,United States,Sometimes,Yes,Don't know,No,Yes,Yes,No,2014,,
415,30.0,Male,United States,Often,No,Don't know,Maybe,Yes,Yes,No,2014,,
419,55.0,Male,United States,Sometimes,Yes,No,Yes,No,No,No,2014,,
424,28.0,Female,United States,Rarely,No,Yes,Maybe,No,No,No,2014,,
425,21.0,Male,United States,Sometimes,No,Don't know,No,Yes,Yes,Maybe,2014,,
426,24.0,Male,United States,Sometimes,No,No,Yes,Yes,Yes,No,2014,,
427,26.0,Female,United States,,No,Yes,Maybe,Yes,No,No,2014,,
428,23.0,Male,United States,,No,Yes,No,Yes,No,No,2014,,
429,24.0,Female,United States,,No,Yes,No,Yes,Yes,Yes,2014,,
431,24.0,Female,United States,Rarely,No,No,Yes,No,Yes,No,2014,,
432,33.0,Male,United States,Often,Yes,No,Yes,Yes,Yes,Yes,2014,,
433,34.0,Male,United States,Sometimes,No,Don't know,Maybe,Yes,Yes,No,2014,,
434,27.0,Female,United States,Sometimes,No,Don't know,Maybe,Yes,Yes,No,2014,,
435,28.0,Male,United States,Never,No,Don't know,No,Yes,Yes,No,2014,,
436,26.0,Male,United States,,No,Don't know,No,Yes,Yes,No,2014,,
438,23.0,Female,United States,Sometimes,No,Yes,Maybe,Yes,No,No,2014,,
439,29.0,Male,United States,Rarely,Yes,Yes,No,Yes,Yes,Maybe,2014,,
441,36.0,Male,United States,Rarely,Yes,Yes,Maybe,No,No,No,2014,,
442,41.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,Yes,Maybe,2014,,
443,33.0,Female,United States,,Yes,Yes,No,Yes,Yes,No,2014,,
445,39.0,Male,United States,Often,No,Yes,Yes,Yes,Yes,No,2014,,
446,34.0,Male,United States,,No,Yes,Maybe,Yes,Yes,No,2014,,
447,26.0,Female,United States,Sometimes,No,Yes,Yes,Yes,Yes,No,2014,,
448,24.0,Male,United States,Rarely,No,Yes,No,Yes,Yes,No,2014,,
450,43.0,Male,United States,Often,Yes,Yes,No,Yes,Yes,Maybe,2014,,
451,40.0,Queer/Non-binary,United States,Never,No,Yes,Yes,No,Yes,No,2014,,
452,30.0,Male,United States,Often,No,Yes,Yes,Yes,No,No,2014,,
453,34.0,Male,United States,Sometimes,No,Don't know,Yes,Yes,No,No,2014,,
454,27.0,Male,United States,Sometimes,No,Don't know,Yes,No,No,No,2014,,
455,36.0,Male,United States,Sometimes,No,Don't know,No,Yes,Yes,Maybe,2014,,
459,37.0,Male,United States,,No,Yes,Maybe,Yes,Yes,No,2014,,
461,33.0,Female,United States,Never,No,Yes,Maybe,Yes,Yes,No,2014,,
462,28.0,Male,United States,Sometimes,Yes,No,Yes,Yes,No,No,2014,,
463,26.0,Female,United States,Never,No,Don't know,Maybe,Yes,No,No,2014,,
464,27.0,Male,United States,Sometimes,Yes,Don't know,Yes,Yes,Yes,No,2014,,
466,57.0,Male,United States,Rarely,No,Yes,Maybe,Yes,Yes,No,2014,,
470,31.0,Male,United States,Sometimes,Yes,Yes,No,Yes,Yes,No,2014,,
471,58.0,Male,United States,Rarely,No,Yes,Maybe,Yes,Yes,No,2014,,
472,29.0,Male,United States,Sometimes,No,Don't know,Yes,No,No,No,2014,,
474,34.0,Male,United States,Sometimes,Yes,Don't know,Maybe,Yes,Yes,No,2014,,
475,57.0,Male,United States,Sometimes,No,Yes,Maybe,No,No,No,2014,,
479,30.0,Female,United States,,No,Don't know,Maybe,Yes,Yes,No,2014,,
480,23.0,Male,United States,Never,No,Don't know,No,Yes,Yes,Maybe,2014,,
481,43.0,Male,United States,Sometimes,No,Yes,Yes,No,No,No,2014,,
483,29.0,Male,United States,Rarely,No,Yes,Maybe,Yes,No,No,2014,,
484,48.0,Male,United States,Never,No,Don't know,Maybe,No,No,No,2014,,
486,28.0,Female,United States,Sometimes,No,Don't know,Yes,Yes,No,No,2014,,
487,30.0,Male,United States,Often,Yes,No,No,Yes,Yes,No,2014,,
490,31.0,Male,United States,,No,Yes,No,No,Yes,No,2014,,
491,30.0,Male,United States,Rarely,No,Don't know,No,Yes,Yes,No,2014,,
493,24.0,Female,United States,Sometimes,Yes,No,No,Yes,Yes,No,2014,,
494,25.0,Male,United States,,No,Don't know,Maybe,Yes,No,No,2014,,
495,23.0,Female,United States,Often,No,Yes,Maybe,Yes,Yes,No,2014,,
496,36.0,Male,United States,Sometimes,No,Yes,Yes,Yes,No,No,2014,,
497,25.0,Female,United States,Often,Yes,Don't know,Yes,Yes,No,No,2014,,
500,38.0,Female,United States,,No,Yes,Maybe,No,No,No,2014,,
504,35.0,Female,United States,Sometimes,No,No,Yes,No,No,No,2014,,
505,46.0,Male,United States,Sometimes,No,Yes,Maybe,Yes,No,No,2014,,
506,42.0,Male,United States,Never,No,Yes,Maybe,Yes,Yes,Maybe,2014,,
508,47.0,Male,United States,Sometimes,No,Yes,No,Yes,Yes,No,2014,,
509,22.0,Male,United States,,No,Yes,No,Yes,Yes,No,2014,,
510,33.0,Female,United States,Sometimes,Yes,Yes,No,Yes,Yes,No,2014,,
511,25.0,Female,United States,Sometimes,No,No,Maybe,Yes,No,No,2014,,
512,29.0,Male,United States,,No,Don't know,Maybe,No,No,No,2014,,
